Machine_ID,Temperature,Run_Time,Downtime_Flag
1,68.72700594236812,35.086009129632444,0
2,97.5357153204958,325.4769974066146,0
3,86.59969709057026,170.8908709166368,0
4,79.93292420985183,264.1139317590573,1
5,57.80093202212183,455.6319074845247,0
6,57.79972601681013,139.66026999145998,0
7,52.90418060840997,216.98380305710228,0
8,93.30880728874676,382.6645465006634,0
9,80.05575058716045,129.82311943597878,0
10,85.40362888980228,56.95035671782064,0
11,51.029224714790125,159.08069739860866,0
12,98.49549260809972,97.38621788192212,0
13,91.62213204002109,466.2548731244351,0
14,60.61695553391381,407.8977821909201,0
15,59.09124836035503,324.03380312500326,1
16,59.17022549267169,438.3010832901045,0
17,65.21211214797688,405.7625969115749,0
18,76.2378215816119,109.5536282652972,1
19,71.5972509321058,448.4283192751893,0
20,64.5614570099021,278.8842761195123,1
21,80.59264473611897,407.57127447875,0
22,56.97469303260209,450.1238239632768,0
23,64.6072324267609,172.64166798649467,0
24,68.31809216468459,72.82492377328484,0
25,72.8034992108518,129.40887802013202,0
26,89.25879806965068,225.01173854060303,0
27,59.98368910791799,412.6470876427967,1
28,75.71172192068059,433.15067996304487,0
29,79.62072844310212,23.337022654971538,1
30,52.32252063599989,265.1587052372315,0
31,80.37724259507192,220.357281511414,1
32,58.526206184364575,126.61174902595052,0
33,53.25257964926398,77.53537632016774,0
34,97.44427686266668,182.05528227374143,0
35,98.28160165372796,472.5966578780092,0
36,90.41986740582306,175.13740736996252,1
37,65.23068845866854,269.0194984368157,0
38,54.8836057003192,357.44910026968535,0
39,84.21165132560785,194.5422091420611,0
40,72.00762468698007,486.45539970606114,0
41,56.10191174223894,481.9747015722134,1
42,74.75884550556351,140.85550199617478,1
43,51.71942605576092,258.679282828345,1
44,95.4660201039391,164.42158871204944,0
45,62.93899908000085,156.72343730118445,0
46,83.1261142176991,37.70573473017574,1
47,65.58555380447055,312.5908803103505,0
48,76.00340105889055,261.2859311498535,1
49,77.33551396716399,44.70980059999489,1
50,59.24272277627635,153.7503028335735,1
51,98.47923138822792,455.9676252639938,0
52,88.75664116805572,134.98970752014677,0
53,96.97494707820944,89.54953860378708,1
54,94.74136752138244,254.93732493323023,0
55,79.89499894055426,493.1122179730883,0
56,96.09371175115584,136.1865303255202,0
57,54.424625102595975,342.6250627548217,1
58,59.79914312095726,385.5774153577845,0
59,52.2613644455269,134.06602111635183,0
60,66.26651653816322,369.5438473336926,0
61,69.4338644844741,196.5359037052416,0
62,63.5674515886948,323.5067986849181,1
63,91.43687545759649,324.09426116522945,0
64,67.83766633467947,277.1718483558841,0
65,64.04672548436903,63.33908962611599,1
66,77.13480415791243,420.94519788283424,1
67,57.04621124873813,173.9744311864332,0
68,90.109849037702,109.52888499193004,1
69,53.727532183988544,39.57206794628668,0
70,99.34434683002588,303.62861273035605,0
71,88.61223846483287,345.23089368429555,1
72,59.93578407670862,27.96215788537096,1
73,50.27610585618012,265.8046679836549,1
74,90.77307142274172,128.71797209501025,1
75,85.34286719238085,329.6829393965359,0
76,86.45035840204937,103.69588592239587,0
77,88.56351733429729,351.65011428918365,1
78,53.70223258670452,205.632966224258,0
79,67.92328642721363,469.63039459363256,1
80,55.79345297625649,86.01005319007676,1
81,93.15517129377967,183.71184850412408,1
82,81.1649063413779,74.46729019548275,0
83,66.54490124263246,463.85293677371016,0
84,53.17791751430119,441.1228896228709,0
85,65.54911608578311,143.8119813032747,0
86,66.25916610133736,336.79234209640595,0
87,86.4803089169032,412.2666560965836,0
88,81.87787356776066,286.4963895677419,0
89,94.36063712881634,274.2322776108831,0
90,73.61074625809746,136.0890996322168,0
91,55.97971229691508,64.68932854683162,0
92,85.66223936114974,450.66356381759687,0
93,88.03925243084487,452.2006674383986,1
94,78.06385987847482,323.8886994911686,0
95,88.54835899772806,182.7342997033764,0
96,74.68977981821953,187.62059581407723,0
97,76.1366414690997,368.4587258577149,1
98,71.37705091792748,450.612924777237,0
99,51.27095633720476,445.8014836472563,0
100,55.39457134966522,394.3402620116594,0
